L,X,Y,Z
360,0.00012990000000000001,0.00000391700000000000,0.00060610000000000004
361,0.000145847,0.00000439358100000000,0.00068087919999999997
362,0.00016380210000000001,0.00000492960400000000,0.00076514560000000005
363,0.00018400369999999999,0.00000553213600000000,0.00086001239999999998
364,0.0002066902,0.00000620824500000000,0.00096659280000000001
365,0.0002321,0.00000696500000000000,0.0010859999999999999
366,0.000260728,0.00000781321900000000,0.0012205860000000001
367,0.00029307500000000001,0.0000087673,0.001372729
368,0.00032938800000000001,0.00000983984400000000,0.001543579
369,0.000369914,0.0000110432,0.001734286
370,0.0004149,0.0000124,0.001946
371,0.00046415870000000002,0.0000138864,0.0021777770000000001
372,0.00051898600000000003,0.0000155573,0.0024358090000000002
373,0.00058185400000000003,0.00001744296000000000,0.0027319530000000001
374,0.0006552347,0.0000195838,0.0030780640000000001
375,0.00074160000000000003,0.00002202000000000000,0.0034859999999999999
376,0.00084502959999999995,0.00002483965000000000,0.0039752269999999996
377,0.0009645268,0.00002804126000000000,0.0045408799999999997
378,0.001094949,0.00003153104000000000,0.0051583200000000001
379,0.0012311539999999999,0.00003521521000000000,0.0058029070000000004
380,0.0013680000000000001,0.00003900000000000000,0.0064500010000000003
381,0.00150205,0.000042826,0.0070832159999999998
382,0.001642328,0.000046915,0.007745488
383,0.0018023819999999999,0.00005158960000000000,0.0085011519999999997
384,0.0019957569999999999,0.00005717640000000000,0.0094145440000000004
385,0.0022360000000000001,0.00006400000000000000,0.01054999
386,0.0025353849999999998,0.00007234421000000000,0.0119658
387,0.0028926030000000001,0.00008221223999999999,0.013655870000000001
388,0.0033008289999999999,0.00009350816000000000,0.015588050000000001
389,0.0037532360000000001,0.0001061361,0.01773015
390,0.0042430000000000002,0.00012,0.02005001
391,0.0047623889999999997,0.00013498399999999999,0.022511360000000001
392,0.0053300480000000004,0.00015149200000000001,0.02520288
393,0.0059787119999999997,0.00017020800000000001,0.028279720000000001
394,0.0067411169999999996,0.00019181600000000001,0.031897040000000002
395,0.0076499999999999997,0.00021699999999999999,0.036209999999999999
396,0.0087513729999999998,0.00024690669999999999,0.041437710000000003
397,0.01002888,0.00028123999999999998,0.047503719999999999
398,0.0114217,0.00031851999999999998,0.054119880000000002
399,0.01286901,0.00035726669999999999,0.060998030000000002
400,0.01431,0.00039599999999999998,0.067850010000000002
401,0.015704429999999998,0.0004337147,0.074486319999999995
402,0.01714744,0.000473024,0.081361559999999999
403,0.018781220000000001,0.00051787600000000001,0.089153640000000006
404,0.020748010000000001,0.00057221870000000001,0.09854048
405,0.023189999999999999,0.00064000000000000005,0.11020000000000001
406,0.026207359999999999,0.00072455999999999996,0.1246133
407,0.02978248,0.00082549999999999995,0.14170170000000001
408,0.033880920000000002,0.00094116000000000002,0.16130349999999999
409,0.038468240000000001,0.00106988,0.1832568
410,0.04351,0.0012099999999999999,0.2074
411,0.0489956,0.001362091,0.23369210000000001
412,0.055022599999999998,0.001530752,0.26261139999999999
413,0.061718799999999997,0.0017203679999999999,0.2947746
414,0.069211999999999996,0.0019353230000000001,0.3307985
415,0.077630000000000005,0.0021800000000000001,0.37130000000000002
416,0.086958110000000005,0.0024548,0.4162091
417,0.097176719999999994,0.002764,0.46546419999999999
418,0.1084063,0.0031178,0.51969480000000001
419,0.12076720000000001,0.0035263999999999998,0.57953030000000005
420,0.13438,0.0040000000000000001,0.64559999999999995
421,0.1493582,0.00454624,0.71848380000000001
422,0.16539570000000001,0.0051593200000000002,0.79671329999999996
423,0.18198310000000001,0.0058292800000000001,0.87784589999999996
424,0.19861100000000001,0.0065461599999999997,0.95943900000000004
425,0.21476999999999999,0.0073000000000000001,1.0390501000000001
426,0.2301868,0.0080865069999999997,1.1153673
427,0.24487970000000001,0.0089087200000000002,1.1884971
428,0.25877729999999999,0.0097676800000000008,1.2581233000000001
429,0.27180789999999999,0.010664430000000001,1.3239296
430,0.28389999999999999,0.011599999999999999,1.3855999999999999
431,0.29494379999999998,0.01257317,1.4426352
432,0.30489650000000001,0.01358272,1.4948035
433,0.31378729999999999,0.014629680000000001,1.5421902999999999
434,0.32164540000000003,0.015715090000000001,1.5848807
435,0.32850000000000001,0.016840000000000001,1.62296
436,0.33435130000000002,0.01800736,1.6564048
437,0.33921010000000001,0.019214479999999999,1.6852959000000001
438,0.34312130000000002,0.02045392,1.7098745
439,0.34612959999999998,0.02171824,1.7303820999999999
440,0.34827999999999998,0.023,1.7470600000000001
441,0.34959990000000002,0.024294610000000001,1.7600446000000001
442,0.3501474,0.025610239999999999,1.7696232999999999
443,0.35001300000000002,0.026958570000000001,1.7762636999999999
444,0.34928700000000001,0.028351250000000001,1.7804333999999999
445,0.34805999999999998,0.0298,1.7826
446,0.3463733,0.031310829999999998,1.7829682
447,0.34426240000000002,0.032883679999999998,1.7816997999999999
448,0.34180880000000002,0.034521120000000002,1.7791982
449,0.33909410000000001,0.036225710000000001,1.7758670999999999
450,0.3362,0.037999999999999999,1.7721100000000001
451,0.33319769999999999,0.039846670000000001,1.7682589
452,0.33004109999999998,0.041768,1.7640389999999999
453,0.32663569999999997,0.043765999999999999,1.7589437999999999
454,0.32288679999999997,0.045842670000000002,1.7524663
455,0.31869999999999998,0.048000000000000001,1.7441
456,0.3140251,0.050243679999999999,1.7335594999999999
457,0.30888399999999999,0.052573040000000001,1.7208581000000001
458,0.30329040000000002,0.054980559999999998,1.7059369
459,0.29725790000000002,0.057458719999999998,1.6887372
460,0.2908,0.059999999999999998,1.6692
461,0.2839701,0.062601970000000007,1.6475287000000001
462,0.27672140000000001,0.065277520000000006,1.6234127
463,0.26891779999999998,0.068042080000000005,1.5960223
464,0.26042270000000001,0.070911089999999996,1.5645279999999999
465,0.25109999999999999,0.073899999999999993,1.5281
466,0.24084749999999999,0.077016000000000001,1.4861114
467,0.22985120000000001,0.080266400000000002,1.4395214999999999
468,0.2184072,0.0836668,1.3898798999999999
469,0.20681150000000001,0.087232799999999999,1.3387362
470,0.19536000000000001,0.090980000000000005,1.2876399999999999
471,0.18421360000000001,0.094917550000000003,1.2374223
472,0.17332729999999999,0.099045839999999996,1.1878242999999999
473,0.1626881,0.1033674,1.1387611
474,0.15228330000000001,0.1078846,1.0901479999999999
475,0.1421,0.11260000000000001,1.0419
476,0.13217860000000001,0.117532,0.99419760000000001
477,0.1225696,0.1226744,0.9473473
478,0.11327520000000001,0.12799279999999999,0.90145310000000001
479,0.1042979,0.13345280000000001,0.85661929999999997
480,0.095640000000000003,0.13902,0.81295010000000001
481,0.087299550000000004,0.14467640000000001,0.77051729999999996
482,0.079308039999999996,0.1504693,0.7294448
483,0.071717760000000005,0.15646189999999999,0.68991360000000002
484,0.064580990000000005,0.16271769999999999,0.65210489999999999
